professor_name,school_name,department_name,post_date,student_star,student_difficult,comments,gender
Stephanie  Domitrovich,University of Montana - Missoula,Health & Human Performance department,12/05/2009,1.5,4,terrible!,F
Stephanie  Domitrovich,University of Montana - Missoula,Health & Human Performance department,12/03/2009,2,5,"she talks too fast, she doesn\'t do anything in the class--she doesn\'t make her own slides, she has her TA\'s grade everything, so if you have a problem with a grade, don\'t go talk to her... she has no say in the grades. print off the slides for each lecture! they always stay the same.",F
Stephanie  Domitrovich,University of Montana - Missoula,Health & Human Performance department,08/01/2009,1.5,5,No Comments,F
Lawrence  MacDonnell,St. Francis Xavier University,History department,01/28/2009,4.5,3,"Wow. Have to say, we need more profs like this. His way of teaching will make one love this school. He strives on getting reactions from the students, And helping them when they need someone to understand that there is alot going on in their life rather then all about due dates. Amazing prof sadly here for a year, but Must take course if you can",M
David  Burke,Pennsylvania College of Technology,Graphic Arts department,09/28/2017,2,3,Not respectful when you ask questions.,M
David  Burke,Pennsylvania College of Technology,Graphic Arts department,05/25/2014,5,1,he is an amazing teacher. if you are looking for experience with your camera and you\'re looking for easy class to attend I recommend Mr. Burke. to be honest with you do your work and you will receive a big A in the end of this course. thank you Mr. Burke.,M
David  Burke,Pennsylvania College of Technology,Graphic Arts department,02/05/2012,5,1,He is a GREAT instructor. Had him for B&W photography. He actually cares about his students and is very easy to get along with. He helps anytime you need it and is a funny guy too. Definetly recommended,M
David  Burke,Pennsylvania College of Technology,Graphic Arts department,04/29/2010,5,1,"Very good teacher, easy going, very knowledgeable, extremely nice, extremely helpful, funny. I highly reccomend him to those looking to take B&W photography. Makes the material intersting and fun. Has a few stories to tell as well.",M
David  Burke,Pennsylvania College of Technology,Graphic Arts department,10/27/2009,4.5,1,The best teacher I\'ve ever had. Learned lots of black and white photography. Learned some awesome things about himself as well...,M
David  Burke,Pennsylvania College of Technology,Graphic Arts department,04/14/2009,4.5,1,No Comments,M
Dana  Rush,Pacific Lutheran University,Physics department,06/20/2015,2.5,3,Was told that he was a great prof and I honestly can\'t stand him. He contradicts himself. His lectures are long and they drag out and the way he talks to women is degrading. Be prepared to feel like you are in middle school again. Thanks for ruining a subject that I am actually interested in..,M
Dana  Rush,Pacific Lutheran University,Physics department,01/24/2013,3,3,Very boring class. Don\'t go into it thinking it will be a piece of cake...because you will still have to study for the A.,M
Dana  Rush,Pacific Lutheran University,Physics department,02/03/2012,4,2,A nice professor to talk to outside of class and has a lot of information. He is willing to tell a story or two if you have time and probably into math or science. He teaches well and his tests are not like his reviews. Be careful when it is for the final because he shoved what was left of the final into one session.,M
Dana  Rush,Pacific Lutheran University,Physics department,12/13/2011,1.5,1,"Pointless class. If you actually want to learn anything, don\'t take this class. Horrible Professor. Extremely uneducated. Very unclear about expectations and don\'t ask for help because he\'s useless. By far the worst teacher I\'ve had since middle school.",M
Dana  Rush,Pacific Lutheran University,Physics department,09/28/2009,5,1,He over-explains everything and goes of on meaningless tangents. The class feels like a middle school science course instead of a college one. I was disappointed with the simplicity of everything and wish i could actually learn something that i didn\'t know.,M
Dana  Rush,Pacific Lutheran University,Physics department,01/28/2009,3.5,3,"Dana is as quirky as they come. His dramatic ""events"" at the end and beginning of the semester make for a unique memory. As for the class, Astronomy is a good GUR to get out of the way. He has reasonable expectations (except maybe being OCD about grammar) and all you have to do is turn is assignments and take quizzes. Funny guy.",M
Angia  MacOmber,Taylor University,Education department,12/11/2012,5,2,She is super nice! she tries so hard! I think everyone likes her :) She doesn\'t ever return graded things tho...whatever. It\'s a real easy class.,F
Angia  MacOmber,Taylor University,Education department,05/26/2011,4.5,2,She is a very nice person and works hard to get to know her students. She is disorganized and takes forever to grade assignments. It wasn\'t a difficult class but I enjoyed it and did learn from her.,F
Angia  MacOmber,Taylor University,Education department,04/15/2010,2,1,"This woman is very unorganized. She never grades and returns papers on time, but is a nice woman. However, being a professor takes more than that. I didn\'t actually learn anything from her.",F
Angia  MacOmber,Taylor University,Education department,02/22/2010,5,1,NA,F
Ayumi  Gervais,Grossmont College,Foreign Languages department,11/16/2017,5,3,I LOVE Gervais!! She always answers questions and is very nice and polite! She is very clear about what she wants and if you ever need help she\'s happy to do so! She makes learning Japanese so fun :),F
Ayumi  Gervais,Grossmont College,Foreign Languages department,01/27/2015,5,3,"She makes the class easier than expected. Leaves very little amount of homework and the quizzes are generally easy if you\'ve been keeping up with the class. There is little down-time outside of class, which made this a very easy to follow class. She is strict within the structure of her syllabus and due dates. Do your homework and study!",F
Ayumi  Gervais,Grossmont College,Foreign Languages department,11/20/2013,5,3,"She\'s a very fair grader. Try to do well on the quizzes! they count for more than you\'d expect. the homework load is pretty sizeable, but she spaces it out well so you always have time to do it if you make the time to do it. She seems intimidating, but is really helpful.",F
Ayumi  Gervais,Grossmont College,Foreign Languages department,03/31/2011,5,1,"Perfect teacher if there ever was one. Sticks strictly to schedules, has a detailed syllabus, follows syllabus exactly, homework is evenly spaced out, No excessive homework, and has a teaching style that is very effective to retain knowledge. She has us do one skit but is short and easy.",F
Ayumi  Gervais,Grossmont College,Foreign Languages department,11/05/2009,5,3,"Superb teacher! You do need to do your, homework, and study outside of class to keep up. The pace of 121 is much faster, you\'ll have an exam every other week, and frequent tests, and journals. You\'re gonna be learning a lot of vocab every couple of weeks, but If you kept up in 120, then you should be fine. ayumi sensei is wonderful :)",F
Ayumi  Gervais,Grossmont College,Foreign Languages department,07/28/2009,5,2,"A wonderful teacher. You do need to apply yourself outside of class to keep up, but the hw is pretty fun. I heard she was teaching 121 and signed up right away.",F
Ayumi  Gervais,Grossmont College,Foreign Languages department,07/22/2009,4.5,3,"Fantastic professor. Definitely the one you want to take if you\'re looking to take Japanese at Grossmont. Frequent tests and exams, and 1-2 pages of homework due out of the workbook every day, but it\'s not overbearing. The pace of the class was excellent, the cultural discussions kept things interesting. And she\'s really nice! A+, Sensei. =)",F
Jodee  Keller,Pacific Lutheran University,Social Work department,11/14/2017,5,1,"She gets a little off topic and frazzled, but she\'s very caring and knows a lot about her subject. Very sweet and cares about each student and their success!",F
Jodee  Keller,Pacific Lutheran University,Social Work department,11/12/2014,3.5,2,"She is extremely kind and cares a lot about the students. Relies upon power points and unhelpful comments, but is overall a good class to find out if Social Work is the major for you!",F
Jodee  Keller,Pacific Lutheran University,Social Work department,11/07/2014,4.5,3,One of the most caring professors at PLU She is sweet and I think students take advantage of that sometimes. She is willing to go out of her way to help you out and she wants to make sure you are learning and getting what you need out of the class. She really tries.,F
Jodee  Keller,Pacific Lutheran University,Social Work department,02/13/2013,2,3,Terrible. Extremely unclear. Has no idea how to lead class discussions. Doesn\'t stay on track. Very unprepared. Disappointed that I spend so much money to go to school and get stuck with professors like Jodee.,F
Jodee  Keller,Pacific Lutheran University,Social Work department,12/15/2012,4.5,1,"She is a wonderful person. Nice & helpful. brought cookies last day of class. Tests were more applied &less memorizing. A lot of common sense stuff. Students take advantage of her quietness & can be disrespectful when she\'s trying to talk or teach. It\'s not her fault, college students should act like college students & automatically be respectful.",F
Jodee  Keller,Pacific Lutheran University,Social Work department,07/31/2011,3.5,3,Okay,F
Jodee  Keller,Pacific Lutheran University,Social Work department,12/12/2010,4.5,1,Amazing,F
Jodee  Keller,Pacific Lutheran University,Social Work department,04/28/2010,1,1,NA,F
Jodee  Keller,Pacific Lutheran University,Social Work department,01/28/2009,2,2,Prof. Keller is extremely unassertive as a teacher. I felt like I was in a middle school class with people having to be reminded about speaking in turn. Also a poor facilitator of discussions.,F
Gina  Gillie,Pacific Lutheran University,Music department,02/26/2018,5,4,"Dr. Gillie is a respectful and kind teacher. She is tougher, only because she wants us to try our best. She is a very lenient grader, and is always willing to help.",F
Gina  Gillie,Pacific Lutheran University,Music department,12/22/2012,5,2,"I LOVED this class. By far my favorite course. Dr. Gillie is the bomb! Great teacher, and super caring about her students learning. Kind of difficult, but worth every second.",F
Gina  Gillie,Pacific Lutheran University,Music department,11/13/2012,2,4,I advise no one to take this class. She is like a middle school teacher looking for someone to punish. Also takes music 101 too far for people only trying to take as a pre req. stay away if you can!!!,F
Gina  Gillie,Pacific Lutheran University,Music department,09/11/2010,5,4,Dr. Gillie takes the fear out of Ear Training and makes it an enjoyable subject. She is very in-tune (no pun intended) with student life and is very understandable.,F
Gina  Gillie,Pacific Lutheran University,Music department,04/22/2010,5,3,Dr. Gillie is fantastic! Great energy and teaches concepts clearly. She makes ear training WAY less scary!,F
Gina  Gillie,Pacific Lutheran University,Music department,04/14/2009,4,3,Professor Gillie is just like a student. She\'s young and fun and totally approachable. Ear training can often be scary but she makes it not seem so bad.,F
Emily  Pink,Madison Area Technical College,Education department,04/26/2018,5,3,Emily is the best professor Ive had here at Madison college! She is so committed to her students. And my favorite part is that she is so passionate about early childhood education it is easy to learn from her because you trust her experience and knowledge and you trust that she cares whole heartedly about what shes teaching. I adore Emily!!,F
Emily  Pink,Madison Area Technical College,Education department,07/12/2017,4,3,Emily was the best online teacher I have ever had. Not only is she very understanding but when it came to having a complicated assignment or needing help she was always very quick to be there for her students. I was taking an exam when my computer died. she literally stopped what she was doing just so that I could finish my exam.,F
Emily  Pink,Madison Area Technical College,Education department,04/01/2017,5,3,"Emily is super kind, very compassionate and knows Early Childhood. I highly recommend her, great story teller.",F
Emily  Pink,Madison Area Technical College,Education department,04/25/2016,5,2,EMILY IS AN AMAZING PERSON! REALLY ENJOYED HER FEEDBACK AND GAVE GREAT IDEAS OF HOW TO DEAL WITH CHILDREN!,F
Buffy  Quinn,Onondaga Community College,Science department,12/26/2017,5,2,"Buffy is such a great professor! The class is super fun, and if you\'re bad at science I think you\'ll like this course (it doesn\'t even feel like a science class)! It\'s a very easy course too you\'ll most likely get an A (assuming you won\'t skip class a lot)",F
Buffy  Quinn,Onondaga Community College,Science department,01/20/2017,4,3,"Buffy is the sweetest, kindest professor I\'ve ever had. She is very passionate about GIS and enthusiastic. It\'s such a joy to take her courses because she actively cares about what she teaches. Although it\'s a long course once a week, Buffy really makes it interesting and fun. Don\'t second guess, take GIS!",F
Buffy  Quinn,Onondaga Community College,Science department,04/08/2016,5,1,Buffy is the funniest professor on campus. She makes the class so easy to understand. Take her. Most likely an easy A to add to your semester. Very nice and willing to help. Not much homework either.,F
Buffy  Quinn,Onondaga Community College,Science department,08/09/2015,5,3,"She knows what she\'s doing, which is hard to come by in GIS. Lectures give good info on how to use the ArcGIS program. No worries if you have trouble in class, she\'d be more than willing to help out. Easy to get a decent grade in this class as long as you keep up on the projects.",F
Buffy  Quinn,Onondaga Community College,Science department,05/15/2015,5,3,"Loved this class, LOVED Buffy! Class was complex and interesting, gives a ton of helpful advice.",F
Buffy  Quinn,Onondaga Community College,Science department,01/21/2015,4,2,"I took the disasternatural hazard class with her and it was amazing! Super interesting stuff and did not feel like a science class at all. Buffy is so sweet and very understanding of you ever have to miss class or make up a test. Very few assignments, a few quizzes and only 2 major tests.",F
Buffy  Quinn,Onondaga Community College,Science department,12/24/2014,4.5,3,I was sure I was going to hate GIS. Buffy helped so much and made everything so much more clear. She\'s easy to get along with and she\'s hands down one of my favorite teachers. I love her!,F
Buffy  Quinn,Onondaga Community College,Science department,05/13/2009,4.5,2,"She is an amazing professor, she is very clear w/her teaching,very funny, caring, she is da best!!!!",F
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,08/29/2017,5,1,He is an AWESOME professor! So helpful and extremely knowledgable. He reviews any math concepts you may have forgotten. He gives tons of opportunities to boost your grade and makes class enjoyable. He prepares you well for exams and breaks down everything into simple and easy to understand terms. I loved his class and he taught me a lot!,M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,08/02/2017,5,1,"David is a phenomenal professor. I seriously can\'t think of a way that I could have made this class any better. His exams are straight forward, he prepares you for them, and he explains complex subjects really well. His smile is also really funny, it makes me laugh every time. I really enjoyed learning from him and will be missing his class.",M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,05/01/2017,4,4,"Stroup is a calculus professor, so HE isn\'t hard, the CLASS is hard. He cares about his students, and is very willing to help. Gives plenty of extra credit, and even more if you ask him personally. He wants to see that you are working, so do the homework and take the projects to the tutors.",M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,03/06/2017,1,5,HE IS HORRIBLE!!!!!!!! I LOVED MATH UNTIL I TOOK HIS CLASS. DO NOT TAKE HIM IF YOU HAVE OTHER OPTIONS!!!!!!!!!,M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,02/15/2017,5,2,I love Professor Stroup. He is like a kid. He is genius about Math. I will take him again.,M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,02/03/2017,5,3,Grade highly reflect from your basic initial understanding in calculus as long as you are supplementarily active as a student. Just simply do not take his classes if you think input work equals direct output of reward like GPA. If you thought you had any form of intelligence but reality tells otherwise become an acountant like the rest.,M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,02/03/2017,5,3,Grade highly reflects your basic initial understanding in calculus as long as you are supplementarily active as a student. Just simply do not take his classes if you think input work equals direct output of reward like GPA. If you thought you had any form of intelligence but reality tells otherwise become an acountant like the rest.,M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,12/09/2016,5,3,"Awesome for someone who has not had math in 15 years!! A lot of homework on math lab but it helps you get a good grade on test!! Very nice guy!! Never expect to get out early. He follows his syllabus to a ""T"" 5 tests and a final and he gives you reviews & does it in class (test is just like review) great teacher!! Makes it easy to understand.",M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,11/03/2016,5,3,I absolutely love professor Stroup. He is very good at explaining the problems. If he notices that students are having difficult time with any chapters... he will spend extra time on it to make sure everyone understands it. Highly recommend him.,M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,08/11/2016,5,2,"Professor Stroup is pretty lenient on his students. He gives out study guides, he allows you to turn in homework late, he gives extra credit, what more could you want? I had to go for math tutoring in High School. After taking Calc 2 with Stroup, trust me he is not bad at all. If you can\'t pass Calc 2 at Tri-C you can\'t pass it anywhere.",M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,05/25/2016,2,5,it as one of the most stressful class ive ever took.,M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,05/18/2016,4.5,3,I loved Professor Stroup! One of my favorite professors that I had. He was funny and helpful with his students. I loved his teaching style and was surprised with how well I did in a Math class since I\'m not too good at math.,M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,02/03/2016,2.5,5,A lot of long homework assignments. Tests are very hard and challenging. I wish that he would give extra credits on each test for a reward and to help with a grade. Study guide for the test would\'ve help but we don\'t get any.,M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,01/26/2016,4,3,"Had him for Calc 2 and knew what he was talking about. Calc isn\'t my favorite subject, but helped me understand it better. Gives quite a bit of homework, but should prepare you for tests. Tests are sort of hard, but gives study guides to give you a good idea of what kind of problems to expect. Also gives extra credit to help your grade.",M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,01/20/2016,4.5,3,"Prof. Stroup was a replacement prof halfway through the semester, and he literally saved the class. He is SUPER awkward, but an absolute genius at Calc. He is truly passionate about the subject, and will readily tackle the tough questions in the chapter. His tests will challenge you, but he prepares you well. Best Calc teacher ever.",M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,12/11/2015,4,3,"There was a lot of homework, but if you do all of the homework, you will pass. The tests were exactly like the homework and the problems that we went over in class. He had a tendency to go off on tangents about different ways to solve problems that are irreverent to the class, but in general he\'s pretty good.",M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,09/04/2015,4.5,3,"He is a very smart teacher and goes over what is needed during lectures. He tends to explain proofs which helps better understand the material. Some book questions tough, tests are medium difficulty. Study guides help narrow down what you will need to know thoroughly for exams. You will be a Calculus II pro with Stroup. Very good teacher!",M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,05/10/2015,4.5,2,"He is tough in that he expects you to put in work. But he also teaches clearly, and he gives extra credit galore. He is funny and personable. Once you get to know him, you\'ll look forward to sitting in class, studying about integrating your hundredth trig polynomial. I didn\'t even know much of Trig when I first took this. Great professor.",M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,01/07/2015,4.5,3,"Mr. Stroup is a very good teacher and a reasonable man. He strives to help students pass and really tries to prepare you for the future. The material in this class is tough and will require a lot of work, but if you show up, pay attention, and do the HW, you\'ll do fine. He gives extremely helpful test reviews that make it very clear what to study",M
David  Stroup,Cuyahoga Community College (all campuses),Mathematics department,12/09/2014,5,3,"Stroup is a great professor. He is super nerdy because he is passionate about math, but that\'s what makes him an excellent teacher. He is one of the rare ones that doesn\'t lecture you like you should already know the material. Do the required HW (not much of it) and the study guides, show up to class and take notes, and you get A\'s on the tests.",M
Kerry  Heafner,Limestone College,Biology department,08/05/2010,5,3,Professor Heafner was very nice and he made the entire bio101 experience exciting. I could tell he truly loves what he does and is extremely knowledgeable.,M
Kerry  Heafner,Limestone College,Biology department,02/01/2009,1,4,"Mr. Heafner is the worst professor I\'ve ever had in my entire collegiate career. He taught straight from powerpoint, filled with slides that contained information that didn\'t correspond with the book material. Tests were filled with questions not from lectures or book. He doesn\'t have a doctorate, and it\'s very evident. Don\'t take him.",M
Brenda  Coley,Central Texas College,Psychology department,07/30/2012,2,1,"Unfair grading. Earned A - She insisted I didn\'t although I had proof- told me no 1 rcvd A .Peers later conf there were in fact A\'s given. Had us work on a class project for weeks & then didnt grade it .Allowed unproductive , non essential chit chat to take over class when she was on break from ""tooting""her own horn. Lacks professionalism.",F
Brenda  Coley,Central Texas College,Psychology department,07/22/2011,5,2,Most amazing instructor! She makes class fun and interesting! Cares about her students and wants nothing more than to see you succeed!,F
Brenda  Coley,Central Texas College,Psychology department,06/03/2011,5,2,I was extremely impressed with Ms. Coley. Very helpful and full of life. Class time was very enjoyable!!,F
Brenda  Coley,Central Texas College,Psychology department,04/28/2011,5,2,"I love this class. The class discussions are always interesting and helpful. Mrs. Coley really cares about her students, and i learned a lot of life lessons in this class that I will keep with me forever. As long as you study you will pass. You couldnt wish for a better teacher. I would recommend this class to anyone",F
Brenda  Coley,Central Texas College,Psychology department,04/28/2011,5,3,I love this class. she really cares about her students. The class discussions are always interesting and helpful. As long as you study you will pass this class. You could not wish for a better teacher. I would recommend Mrs. Coley as a teacher to anyone.,F
Brenda  Coley,Central Texas College,Psychology department,01/28/2009,5,2,She was totally cool and very helpful. She wouldnt move forward until everyone had a clear understanding. It was always open discussions and you learned a lot by listening to everyone elses experience. I totally recommend her.,F
Kathryn  Austin,Florida Atlantic University,Theater department,03/31/2012,5,3,Ms. Austin is amazing!! Great teacher and an awesome person all together :),F
Kathryn  Austin,Florida Atlantic University,Theater department,03/31/2012,5,2,Had Austin for two classes and she was the best teacher I\'ve ever had! I love dance even more because of her. She is very passionate about her work and helps her students.,F
Kathryn  Austin,Florida Atlantic University,Theater department,03/13/2009,4,2,amazing!,F
Michael  McGivern,American InterContinental University Online,Management department,01/28/2009,5,2,He\'s extremely helpful and understanding. He\'s was the best professor I had in the AIU MBA program.,M
Joanne  Hwang,Austin Community College,Mathematics department,07/13/2017,3,3,"Professor Hwang is ok at teach the material, but sometimes she does go a little fast. She\'s an easy grader and if you attempt to work the problems, she\'ll give partial credit. She also provided many opportunities for extra credit. She is pretty funny if you catch her sense of humor.",F
Joanne  Hwang,Austin Community College,Mathematics department,03/20/2015,4,2,"I took the (very easy) college mathematics course with her. (Maybe that\'s why I liked her and others didn\'t). She was very helpful, she would explain different ways to do the problems and was RARELY disrespectful to the students (sometimes someone would say something really really dumb though...) I always felt like my questions were answered well.",F
Joanne  Hwang,Austin Community College,Mathematics department,03/29/2014,4.5,1,"She is not as other review. she is helpful and wants her students to succeed. if you do homework and practice her previous exams, you can make easy A.",F
Joanne  Hwang,Austin Community College,Mathematics department,12/28/2013,4,5,"She is not helpful when you ask for help. Joanne berates the students she does not like during class in front of the other students, very unprofessional. Joanne powerpoints are good but that about all. She rushes through material, when asked to repeat she gets upset. Her grading is not fair when she take off for comas.",F
Joanne  Hwang,Austin Community College,Mathematics department,12/24/2013,5,1,"She\'s pretty good as far as my experience went. The material is basic and most of the work is explained clearly. Idk why people complain about her, I understand not everyone can grasp the concepts but its not like she doesn\'t offer help. She\'s always at her office and she always willing to help. She\'s nice too!",F
Joanne  Hwang,Austin Community College,Mathematics department,12/06/2013,1,4,Terrible teacher but a nice lady if you are good in math and statistics already this will be an easy class\xe2\x80\xa6she grades on a curve anyway. But if you struggle in class DO NOT TAKE IT WITH HER! And if you get stuck in it plan to live in the learning lab and ask for Conrad (Round Rock Campus),F
Joanne  Hwang,Austin Community College,Mathematics department,08/07/2013,3,4,"This instructor is much better on many levels than most of the reviews here indicate. I took her course in a 5.5-week summer semester and made an A. I am weak in math, don\'t like math courses...just follow instructions.",F
Joanne  Hwang,Austin Community College,Mathematics department,07/07/2013,3.5,3,Professor Hwang is a very fair professor. She doesn\'t try to surprise you or make the class impossible. she does have a lot of assignments and you do need to show up and pay attention. She is attentive and wants her students to succeed. If you show up and do what\'s assigned you will get an A.,F
Joanne  Hwang,Austin Community College,Mathematics department,06/01/2013,5,1,Great professor.,F
Joanne  Hwang,Austin Community College,Mathematics department,05/21/2013,1,5,Very nice person but horrible professor. Expects you to come to every class knowing the material. The examples she uses in class are way different then the ones on the test. She does not have math teaching ability. Only take this class if you are willing to study and learn the material on your own!,F
Joanne  Hwang,Austin Community College,Mathematics department,07/10/2009,1,5,Her written English is extremely poor for a prof with a MS. On numerous occasions both students & tutors were unable to comprehend her questions on a quiz. You were out of luck with understanding the English of poorly written exams. Teachers have to demonstrate proficiency in English--so should Profs. Hire a translator for her written English.,F
Joanne  Hwang,Austin Community College,Mathematics department,07/03/2009,2,5,Great Class if you can\'t read because she reads the textbook word for word from the overhead.Explanations during class not good. Explanations after class better. Too much of a class for 5.5 weeks,F
Joanne  Hwang,Austin Community College,Mathematics department,06/18/2009,1.5,5,If you can\'t figure it out by yourself or with classmates help she is useless. She doesn\'t comprehend silence from the class means no one understands her. I\'d never take another class taught by Prof Joanne Hwang.,F
Joanne  Hwang,Austin Community College,Mathematics department,04/12/2009,2,4,Great class to take IF you already know statistics. She gives you notes with a lot of vocab. Not very good at explaining things for others with different learning styles. She teaches above the elementary class level.,F
David  Gruber,Bard College,Not Specified department,12/14/2009,2.5,2,Gruber is ok. His Fysem class wasn\'t bad and he wasn\'t too tough of a teacher. Not a great class but not a good on either. If you want an easy class this could be the class for you.,M
David  Gruber,Bard College,Not Specified department,12/10/2009,2.5,4,"Classroom discussion was abysmal. I still really have no idea what he wants from papers, even after seeing him after class a few times during the semester. He was eager to help, but he doesn\'t really know what he wants, so he couldn\'t really help all that much.",M
David  Gruber,Bard College,Not Specified department,12/09/2009,4.5,4,"David is a wonderful FYSEM professor. While he doesn\'t absolutely pile on the reading, his class moves at a steady pace, and his discussions are always engaging. He\'s especially good at encouraging and facilitating participation, and his papers, while difficult, are often rewarding and graded clearly and methodically. Strict but caring. Very good.",M
David  Gruber,Bard College,Not Specified department,12/03/2009,5,1,Grubs is really helpful and you\'ll laugh at his awkwardness. He is helpful. A good FYSEM prof to have.,M
Harriet  Strickland,Coastal Carolina University,Biology department,02/03/2009,5,1,Really easy A but she\'s just boring.,F
Harriet  Strickland,Coastal Carolina University,Biology department,01/26/2009,5,1,"Very nice teacher. Easy class, just show up. All lectures are on blackboard. For tests, read over lectures and you should be fine. Plenty of extra credit as well, even though it\'s really not needed. Easy assignments. Overall, a great professor although, class is sometimes a little slow.",F
Hobson,Riverside City College,English department,01/28/2009,3,3,IT WAS HER FIRST YEAR SO TEACHING. LECTURES WERE OKAY VOCAB QUIZES WERE EASY IF YOU STUDY GIVES QUIZES AT THE END OF CLASS ON THE LESSON FINAL WAS DEBATING OVERALL OKAY TEACHER,F
Janis  Langins,University of Toronto - St. George Campus,Humanities department,09/20/2011,2.5,4,"This was the absolute worst teacher I have had in University. He spoke down to his students, he was boring, he lacked any social skill what-so-ever, and his readings were ridiculous. Clawing your eyes out would be less painful than sitting through a year in his class.",M
Janis  Langins,University of Toronto - St. George Campus,Humanities department,04/14/2010,5,4,Amazing and passionate professor. he clearly cares about what he is teaching and is very organized and clear and the material is still challenging for an introductory course. Highly recommend this professor.,M
Janis  Langins,University of Toronto - St. George Campus,Humanities department,01/28/2009,5,3,"Professor Langins is interesting, engaging, and very clear and well-prepared. He posts lecture outlines on Blackboard in advance of the class, and is almost always perfectly on point. He has a wide breadth off knowledge not limited to engineering or history of technology. I\'ve taken two of his classes, and I would highly recommend him.",M
Elena  Pezzoli,University of Washington,Mathematics department,03/09/2018,2,5,"Her midterms now are nothing like her old midterms, so it was a slap in the face to everyone when we studies her old midterms and got midterms that were much more difficult. She is a nice person but what she reviews in class doesn\'t prepare you for the exams. Be ready to study a lot.",F
